 On the book, the deviation of 5th iteration for
 secant method is actually wrong

 I do not know if different compliers behave diff-
 erently facing NaN. It is possible letting iteration
 numbers reach a very large number.

----------------------------------------------
 Iteration      Search      Newton      Secant
                         Eq.(1.14)   Eq.(1.15)
----------------------------------------------
     0       -1.236068   -1.236068   -1.236068
     1       -0.736068    0.763932    1.430599
     2       -0.236068    0.097265   -0.378925
     3        0.263932    0.002027   -0.098137
     4        0.013932    0.000001    0.009308
     5       -0.236068    0.000000   -0.000208
     6       -0.111068    0.000000   -0.000000
     7        0.013932    0.000000    0.000000
     8       -0.048568    0.000000    0.000000
     9       -0.017318    0.000000    0.000000
    10        0.013932    0.000000         NaN
    11       -0.001693    0.000000         NaN
    12        0.006120    0.000000         NaN
    13        0.002213    0.000000         NaN
    14       -0.001693    0.000000         NaN
    15        0.000260    0.000000         NaN
    16       -0.000716    0.000000         NaN
    17       -0.000228    0.000000         NaN
    18        0.000260    0.000000         NaN
    19        0.000016    0.000000         NaN
    20       -0.000228    0.000000         NaN
    21       -0.000106    0.000000         NaN
    22        0.000016    0.000000         NaN
    23       -0.000045    0.000000         NaN
    24       -0.000015    0.000000         NaN
    25        0.000016    0.000000         NaN
    26        0.000001    0.000000         NaN
    27       -0.000015    0.000000         NaN
    28       -0.000007    0.000000         NaN
    29        0.000001    0.000000         NaN
    30       -0.000003    0.000000         NaN
    31       -0.000001    0.000000         NaN
    32        0.000001    0.000000         NaN
----------------------------------------------
