-----------------------------------------------
   Level         Energy        XMin        XMax
-----------------------------------------------
       0      -0.990000    1.450000    1.550000
       1      -0.970000    1.413397    1.586603
       2      -0.950000    1.388197    1.611803
       3      -0.930000    1.367712    1.632288
       4      -0.910000    1.350000    1.650000
       5      -0.890000    1.334169    1.665831
       6      -0.870000    1.319722    1.680278
       7      -0.850000    1.306351    1.693649
       8      -0.830000    1.293845    1.706155
       9      -0.810000    1.282055    1.717945
      10      -0.790000    1.270871    1.729129
      11      -0.770000    1.260208    1.739792
      12      -0.750000    1.250000    1.750000
      13      -0.730000    1.240192    1.759808
      14      -0.710000    1.230742    1.769258
      15      -0.690000    1.221612    1.778388
      16      -0.670000    1.212772    1.787228
      17      -0.650000    1.204196    1.795804
      18      -0.630000    1.195862    1.804138
      19      -0.610000    1.187750    1.812250
      20      -0.590000    1.179844    1.820156
      21      -0.570000    1.172128    1.827872
      22      -0.550000    1.164590    1.835410
      23      -0.530000    1.157217    1.842783
      24      -0.510000    1.150000    1.850000
      25      -0.490000    1.142929    1.857071
      26      -0.470000    1.135995    1.864005
      27      -0.450000    1.129190    1.870810
      28      -0.430000    1.122508    1.877492
      29      -0.410000    1.115943    1.884057
      30      -0.390000    1.109488    1.890512
      31      -0.370000    1.103137    1.896863
      32      -0.350000    1.096887    1.903113
      33      -0.330000    1.090732    1.909268
      34      -0.310000    1.084669    1.915331
      35      -0.290000    1.078693    1.921307
      36      -0.270000    1.072800    1.927200
      37      -0.250000    1.066987    1.933013
      38      -0.230000    1.061252    1.938748
      39      -0.210000    1.055590    1.944410
      40      -0.190000    1.050000    1.950000
      41      -0.170000    1.044478    1.955522
      42      -0.150000    1.039023    1.960977
      43      -0.130000    1.033631    1.966369
      44      -0.110000    1.028301    1.971699
      45      -0.090000    1.023030    1.976970
      46      -0.070000    1.017817    1.982183
      47      -0.050000    1.012660    1.987340
      48      -0.030000    1.007557    1.992443
      49   -0.10000D-01    1.002506    1.997494
-----------------------------------------------
