 
 Output from example 1: Bohr Sommerfeld Quantization
 Energy tolerance = 0.50000E-03   position tolerance = 0.50000E-03
 number of quadrature points = 100
 For gamma =   50.00 there are   12 levels:
 (all quantities are expressed in scaled units)
 
        Level        Energy            Xmin            Xmax
        -----        ------            ----            ----
           0        -0.95998         1.40000         1.60000
           1        -0.87996         1.32734         1.67266
           2        -0.79994         1.27656         1.72344
           3        -0.71992         1.23594         1.76406
           4        -0.63993         1.20000         1.80000
           5        -0.55994         1.16875         1.83125
           6        -0.47990         1.13984         1.86016
           7        -0.39995         1.11328         1.88672
           8        -0.31987         1.08828         1.91172
           9        -0.23990         1.06484         1.93516
          10        -0.15988         1.04219         1.95781
          11        -0.07994         1.02109         1.97891
 
 Output from example 1: Bohr Sommerfeld Quantization
 Energy tolerance = 0.50000E-03   position tolerance = 0.50000E-03
 number of quadrature points = 100
 For gamma =  200.00 there are   50 levels:
 (all quantities are expressed in scaled units)
 
        Level        Energy            Xmin            Xmax
        -----        ------            ----            ----
           0        -0.98999         1.45000         1.55000
           1        -0.96999         1.41406         1.58594
           2        -0.94996         1.38828         1.61172
           3        -0.92999         1.36797         1.63203
           4        -0.90998         1.35000         1.65000
           5        -0.88999         1.33438         1.66562
           6        -0.86997         1.32031         1.67969
           7        -0.84992         1.30703         1.69297
           8        -0.82990         1.29453         1.70547
           9        -0.80989         1.28203         1.71797
          10        -0.78999         1.27109         1.72891
          11        -0.76995         1.26094         1.73906
          12        -0.74988         1.25000         1.75000
          13        -0.72998         1.24063         1.75937
          14        -0.70991         1.23125         1.76875
          15        -0.68989         1.22188         1.77812
          16        -0.66993         1.21328         1.78672
          17        -0.64989         1.20469         1.79531
          18        -0.62989         1.19609         1.80391
          19        -0.60992         1.18828         1.81172
          20        -0.58988         1.18047         1.81953
          21        -0.56984         1.17266         1.82734
          22        -0.54987         1.16484         1.83516
          23        -0.52992         1.15781         1.84219
          24        -0.50984         1.15000         1.85000
          25        -0.48995         1.14297         1.85703
          26        -0.46998         1.13672         1.86328
          27        -0.44980         1.12969         1.87031
          28        -0.42983         1.12266         1.87734
          29        -0.40991         1.11641         1.88359
          30        -0.38986         1.11016         1.88984
          31        -0.36982         1.10312         1.89688
          32        -0.34998         1.09766         1.90234
          33        -0.32979         1.09141         1.90859
          34        -0.30982         1.08516         1.91484
          35        -0.28983         1.07891         1.92109
          36        -0.26992         1.07344         1.92656
          37        -0.24981         1.06719         1.93281
          38        -0.22986         1.06172         1.93828
          39        -0.20987         1.05625         1.94375
          40        -0.18981         1.05000         1.95000
          41        -0.16991         1.04453         1.95547
          42        -0.14988         1.03906         1.96094
          43        -0.12985         1.03359         1.96641
          44        -0.10998         1.02891         1.97109
          45        -0.08993         1.02344         1.97656
          46        -0.06996         1.01797         1.98203
          47        -0.04969         1.01328         1.98672
          48        -0.02972         1.00781         1.99219
          49        -0.00957         1.00312         1.99687
