 Tested variable less than 0 but larger than 1.0D-15
 Variable value:   -2.4637708412816474E-010
 Tested variable less than 0 but larger than 1.0D-15
 Variable value:   -4.7582711034802937E-010
 Tested variable less than 0 but larger than 1.0D-15
 Variable value:   -4.4938636431749666E-009
-----------------------------------------------
   Level     Energy(eV)        XMin        XMax
-----------------------------------------------
       0      -4.477000    1.083152    1.174607
       1      -3.960715    1.060368    1.224600
       2      -3.476049    1.047097    1.267396
       3      -3.023004    1.037606    1.309105
       4      -2.601578    1.030276    1.351824
       5      -2.211772    1.024386    1.396881
       6      -1.853586    1.019543    1.445458
       7      -1.527019    1.015508    1.498842
       8      -1.232073    1.012124    1.558620
       9      -0.968746    1.009282    1.626918
      10      -0.737040    1.006906    1.706773
      11      -0.536953    1.004939    1.802814
      12      -0.368486    1.003338    1.922629
      13      -0.231640    1.002074    2.079910
      14      -0.126414    1.001121    2.303000
      15      -0.052809    1.000466    2.665384
      16      -0.010826    1.000095    3.472391
-----------------------------------------------
