
                                      Go Forward

------------------------------------------------------------------------------------------
   t         y(t)         y Exact        y Diff        p(t)         p Exact        p Diff 
------------------------------------------------------------------------------------------
 0.200     0.5347239     0.3878428     0.1468810    -8.8075453    -8.8089880     0.0014427
 0.400    -1.1695246    -1.2603000     0.0907754    -5.9433277    -5.9442540     0.0009263
 0.600    -1.2575252    -1.1667510    -0.0907742     5.1343901     5.1352370    -0.0008469
 0.800     0.3923362     0.5392082    -0.1468720     9.1165352     9.1180050    -0.0014698
 1.000     1.5000008     1.5000000     0.0000008     0.4999026     0.5000000    -0.0000974
 1.200     0.5347094     0.3878428     0.1468665    -8.8075803    -8.8089880     0.0014077
 1.400    -1.1695343    -1.2603000     0.0907656    -5.9432520    -5.9442540     0.0010020
 1.600    -1.2575167    -1.1667510    -0.0907657     5.1344720     5.1352370    -0.0007650
 1.800     0.3923512     0.5392082    -0.1468570     9.1165100     9.1180050    -0.0014950
 2.000     1.5000015     1.5000000     0.0000015     0.4998052     0.5000000    -0.0001948
 2.200     0.5346949     0.3878428     0.1468520    -8.8076153    -8.8089880     0.0013727
 2.400    -1.1695441    -1.2603000     0.0907559    -5.9431762    -5.9442540     0.0010778
 2.600    -1.2575082    -1.1667510    -0.0907572     5.1345538     5.1352370    -0.0006832
 2.800     0.3923662     0.5392082    -0.1468420     9.1164848     9.1180050    -0.0015202
 3.000     1.5000023     1.5000000     0.0000023     0.4997078     0.5000000    -0.0002922
 3.200     0.5346804     0.3878428     0.1468375    -8.8076503    -8.8089880     0.0013377
 3.400    -1.1695538    -1.2603000     0.0907462    -5.9431005    -5.9442540     0.0011535
 3.600    -1.2574997    -1.1667510    -0.0907487     5.1346356     5.1352370    -0.0006014
 3.800     0.3923812     0.5392082    -0.1468270     9.1164596     9.1180050    -0.0015454
 4.000     1.5000031     1.5000000     0.0000031     0.4996104     0.5000000    -0.0003896
 4.200     0.5346658     0.3878428     0.1468230    -8.8076853    -8.8089880     0.0013027
 4.400    -1.1695635    -1.2603000     0.0907364    -5.9430247    -5.9442540     0.0012293
 4.600    -1.2574913    -1.1667510    -0.0907402     5.1347175     5.1352370    -0.0005195
 4.800     0.3923961     0.5392082    -0.1468120     9.1164344     9.1180050    -0.0015706
 5.000     1.5000039     1.5000000     0.0000039     0.4995130     0.5000000    -0.0004870
 5.200     0.5346513     0.3878428     0.1468085    -8.8077204    -8.8089880     0.0012676
 5.400    -1.1695733    -1.2603000     0.0907267    -5.9429489    -5.9442540     0.0013050
 5.600    -1.2574828    -1.1667510    -0.0907317     5.1347993     5.1352370    -0.0004377
 5.800     0.3924111     0.5392082    -0.1467970     9.1164092     9.1180050    -0.0015958
 6.000     1.5000046     1.5000000     0.0000046     0.4994156     0.5000000    -0.0005844
 6.200     0.5346368     0.3878428     0.1467940    -8.8077554    -8.8089880     0.0012326
 6.400    -1.1695830    -1.2603000     0.0907169    -5.9428732    -5.9442540     0.0013808
 6.600    -1.2574743    -1.1667510    -0.0907233     5.1348811     5.1352370    -0.0003559
 6.800     0.3924261     0.5392082    -0.1467821     9.1163840     9.1180050    -0.0016209
 7.000     1.5000054     1.5000000     0.0000054     0.4993182     0.5000000    -0.0006818
 7.200     0.5346223     0.3878428     0.1467795    -8.8077904    -8.8089880     0.0011976
 7.400    -1.1695927    -1.2603000     0.0907072    -5.9427974    -5.9442540     0.0014566
 7.600    -1.2574658    -1.1667510    -0.0907148     5.1349629     5.1352370    -0.0002741
 7.800     0.3924411     0.5392082    -0.1467671     9.1163589     9.1180050    -0.0016461
 8.000     1.5000062     1.5000000     0.0000062     0.4992208     0.5000000    -0.0007792
 8.200     0.5346078     0.3878428     0.1467650    -8.8078254    -8.8089880     0.0011626
 8.400    -1.1696025    -1.2603000     0.0906975    -5.9427217    -5.9442540     0.0015323
 8.600    -1.2574573    -1.1667510    -0.0907063     5.1350448     5.1352370    -0.0001922
 8.800     0.3924561     0.5392082    -0.1467521     9.1163337     9.1180050    -0.0016713
 9.000     1.5000070     1.5000000     0.0000070     0.4991235     0.5000000    -0.0008765
 9.200     0.5345933     0.3878428     0.1467505    -8.8078604    -8.8089880     0.0011276
 9.400    -1.1696122    -1.2603000     0.0906877    -5.9426459    -5.9442540     0.0016081
 9.600    -1.2574488    -1.1667510    -0.0906978     5.1351266     5.1352370    -0.0001104
 9.800     0.3924711     0.5392082    -0.1467371     9.1163085     9.1180050    -0.0016965
10.000     1.5000077     1.5000000     0.0000077     0.4990261     0.5000000    -0.0009739
------------------------------------------------------------------------------------------

                                      Return Back

------------------------------------------------------------------------------------------
   t         y(t)         y Exact        y Diff        p(t)         p Exact        p Diff 
------------------------------------------------------------------------------------------
 9.800     0.3835075     0.5392082    -0.1557007     9.1192905     9.1180050     0.0012855
 9.600    -1.2629886    -1.1667510    -0.0962376     5.1369696     5.1352370     0.0017326
 9.400    -1.1640724    -1.2603000     0.0962276    -5.9444889    -5.9442540    -0.0002349
 9.200     0.5435569     0.3878428     0.1557141    -8.8108424    -8.8089880    -0.0018544
 9.000     1.5000069     1.5000000     0.0000069     0.4991235     0.5000000    -0.0008765
 8.800     0.3834924     0.5392082    -0.1557157     9.1193157     9.1180050     0.0013107
 8.600    -1.2629970    -1.1667510    -0.0962460     5.1368877     5.1352370     0.0016507
 8.400    -1.1640626    -1.2603000     0.0962374    -5.9445647    -5.9442540    -0.0003107
 8.200     0.5435714     0.3878428     0.1557285    -8.8108074    -8.8089880    -0.0018194
 8.000     1.5000060     1.5000000     0.0000060     0.4992209     0.5000000    -0.0007791
 7.800     0.3834774     0.5392082    -0.1557307     9.1193409     9.1180050     0.0013359
 7.600    -1.2630054    -1.1667510    -0.0962544     5.1368059     5.1352370     0.0015689
 7.400    -1.1640527    -1.2603000     0.0962472    -5.9446405    -5.9442540    -0.0003865
 7.200     0.5435858     0.3878428     0.1557430    -8.8107724    -8.8089880    -0.0017844
 7.000     1.5000051     1.5000000     0.0000051     0.4993183     0.5000000    -0.0006817
 6.800     0.3834624     0.5392082    -0.1557457     9.1193661     9.1180050     0.0013611
 6.600    -1.2630138    -1.1667510    -0.0962628     5.1367240     5.1352370     0.0014870
 6.400    -1.1640429    -1.2603000     0.0962570    -5.9447163    -5.9442540    -0.0004623
 6.200     0.5436003     0.3878428     0.1557575    -8.8107373    -8.8089880    -0.0017493
 6.000     1.5000043     1.5000000     0.0000043     0.4994158     0.5000000    -0.0005842
 5.800     0.3834474     0.5392082    -0.1557608     9.1193913     9.1180050     0.0013863
 5.600    -1.2630222    -1.1667510    -0.0962712     5.1366422     5.1352370     0.0014052
 5.400    -1.1640331    -1.2603000     0.0962669    -5.9447921    -5.9442540    -0.0005381
 5.200     0.5436148     0.3878428     0.1557720    -8.8107023    -8.8089880    -0.0017143
 5.000     1.5000034     1.5000000     0.0000034     0.4995132     0.5000000    -0.0004868
 4.800     0.3834324     0.5392082    -0.1557758     9.1194165     9.1180050     0.0014115
 4.600    -1.2630306    -1.1667510    -0.0962796     5.1365603     5.1352370     0.0013233
 4.400    -1.1640233    -1.2603000     0.0962767    -5.9448678    -5.9442540    -0.0006139
 4.200     0.5436293     0.3878428     0.1557864    -8.8106673    -8.8089880    -0.0016793
 4.000     1.5000025     1.5000000     0.0000025     0.4996106     0.5000000    -0.0003894
 3.800     0.3834174     0.5392082    -0.1557908     9.1194417     9.1180050     0.0014367
 3.600    -1.2630390    -1.1667510    -0.0962880     5.1364784     5.1352370     0.0012415
 3.400    -1.1640135    -1.2603000     0.0962865    -5.9449436    -5.9442540    -0.0006896
 3.200     0.5436437     0.3878428     0.1558009    -8.8106323    -8.8089880    -0.0016443
 3.000     1.5000016     1.5000000     0.0000016     0.4997080     0.5000000    -0.0002920
 2.800     0.3834024     0.5392082    -0.1558058     9.1194669     9.1180050     0.0014619
 2.600    -1.2630475    -1.1667510    -0.0962964     5.1363966     5.1352370     0.0011596
 2.400    -1.1640037    -1.2603000     0.0962963    -5.9450194    -5.9442540    -0.0007654
 2.200     0.5436582     0.3878428     0.1558154    -8.8105973    -8.8089880    -0.0016093
 2.000     1.5000008     1.5000000     0.0000008     0.4998055     0.5000000    -0.0001945
 1.800     0.3833874     0.5392082    -0.1558208     9.1194921     9.1180050     0.0014871
 1.600    -1.2630559    -1.1667510    -0.0963048     5.1363147     5.1352370     0.0010777
 1.400    -1.1639938    -1.2603000     0.0963061    -5.9450952    -5.9442540    -0.0008412
 1.200     0.5436727     0.3878428     0.1558299    -8.8105623    -8.8089880    -0.0015743
 1.000     1.4999999     1.5000000    -0.0000001     0.4999029     0.5000000    -0.0000971
 0.800     0.3833723     0.5392082    -0.1558358     9.1195173     9.1180050     0.0015123
 0.600    -1.2630643    -1.1667510    -0.0963132     5.1362329     5.1352370     0.0009959
 0.400    -1.1639840    -1.2603000     0.0963159    -5.9451710    -5.9442540    -0.0009170
 0.200     0.5436872     0.3878428     0.1558443    -8.8105272    -8.8089880    -0.0015392
 0.000     1.4999990     1.5000000    -0.0000010     0.5000003     0.5000000     0.0000003
------------------------------------------------------------------------------------------
