
 Impact Factor Minimum =   0.50000000000000000     
 Impact Factro Maximum =    2.5000000000000000     
 Energy                =   0.29999999999999999     
 Integral Upper Limit  =    10.000000000000000     

 X Threshold           =    1.0000000000000000E-010
 Y Threshold           =    1.0000000000000000E-010
 Integral Grid Numbers =        50000
 Maximun Root Search   =                   100

 bCrit                 =    2.1024310113516043     
 rCrit                 =    1.6968950511948577     

 -----------------------------------------
     Impact           rMin           Theta
 -----------------------------------------
     0.5000      0.9914134     131.2482355
     0.5513      0.9919962     126.0744204
     0.6026      0.9926415     120.8462692
     0.6538      0.9933512     115.5570741
     0.7051      0.9941270     110.1995923
     0.7564      0.9949713     104.7659557
     0.8077      0.9958865      99.2475635
     0.8590      0.9968752      93.6349541
     0.9103      0.9979406      87.9176522
     0.9615      0.9990861      82.0839822
     1.0128      1.0003154      76.1208411
     1.0641      1.0016329      70.0134174
     1.1154      1.0030434      63.7448407
     1.1667      1.0045521      57.2957393
     1.2179      1.0061653      50.6436757
     1.2692      1.0078897      43.7624158
     1.3205      1.0097332      36.6209687
     1.3718      1.0117045      29.1823062
     1.4231      1.0138139      21.4016215
     1.4744      1.0160730      13.2239127
     1.5256      1.0184954       4.5805500
     1.5769      1.0210968      -4.6157376
     1.6282      1.0238960     -14.4784210
     1.6795      1.0269149     -25.1590084
     1.7308      1.0301801     -36.8664595
     1.7821      1.0337239     -49.9008868
     1.8333      1.0375859     -64.7164564
     1.8846      1.0418161     -82.0505575
     1.9359      1.0464781    -103.2267688
     1.9872      1.0516557    -131.0231934
     2.0385      1.0574618    -173.2076867
     2.0897      1.0640546    -280.5948685
     2.1410      1.8839305     -63.4889244
     2.1923      1.9940788     -41.2811510
     2.2436      2.0813240     -30.6721293
     2.2949      2.1582375     -24.0900633
     2.3462      2.2290771     -19.5319262
     2.3974      2.2958854     -16.1737485
     2.4487      2.3598209     -13.5985450
     2.5000      2.4216110     -11.5673740
 -----------------------------------------
